Date,Downy Mildew,Powdery Mildew,Anthracnose,Bacterial Spot,Rust,Bunch Rot
2024-04-04,nil,nil,nil,nil,nil,
2024-03-28,nil,nil,nil,nil,nil,
2024-03-21,nil,nil,nil,nil,nil,
2024-03-14,low,low,low,low,low,
2024-03-07,low,low,low,low,low,
2024-02-29,low,low,low,low,low,
2024-02-22,low,low,low,low,low,
2024-02-15,low,low,low,low,low,
2024-02-08,low,low,low,low,low,
2024-02-01,low,moderate,low,low,low,
2024-01-25,low,moderate,low,low,low,
2024-01-18,low,moderate,low,low,low,
2024-01-11,moderate,moderate,moderate,low,low,
2024-01-04,moderate,low,moderate,low,low,
2023-12-28,moderate,low,moderate,low,low,
2023-12-21,moderate,low,moderate,low,low,
2023-12-14,moderate,low,moderate,low,low,
2023-12-07,moderate,low,moderate,low,low,
2023-11-30,moderate,low,moderate,low,low,
2023-11-23,moderate,low,moderate,low,nil,
2023-11-16,moderate,low,moderate,low,nil,
2023-11-09,moderate,low,moderate,low,nil,
2023-11-02,moderate,low,moderate,moderate,nil,
2023-10-26,moderate,nil,moderate,moderate,nil,
2023-10-19,moderate,nil,moderate,moderate,nil,
2023-10-12,moderate,nil,moderate,moderate,nil,
2023-10-05,moderate,nil,moderate,moderate,nil,
2023-09-28,low,nil,moderate,moderate,nil,
2023-09-21,low,low,moderate,moderate,nil,
2023-09-14,low,low,moderate,moderate,nil,
2023-09-07,low,moderate,moderate,moderate,nil,
2023-08-31,low,moderate,moderate,moderate,nil,
2023-08-24,low,moderate,moderate,moderate,nil,
2023-08-17,nil,nil,moderate,moderate,nil,
2023-08-10,nil,nil,moderate,moderate,nil,
2023-08-03,nil,nil,moderate,moderate,nil,
2023-07-27,nil,nil,moderate,moderate,nil,
2023-07-20,nil,nil,moderate,moderate,nil,
2023-07-13,nil,nil,moderate,moderate,nil,
2023-07-06,nil,nil,moderate,moderate,nil,
2023-06-29,nil,nil,moderate,moderate,nil,
2023-06-22,nil,nil,low,nil,nil,
2023-06-15,nil,nil,low,nil,nil,
2023-06-08,nil,nil,low,nil,nil,
2023-06-01,nil,low,nil,nil,nil,
2023-05-25,nil,nil,low,nil,nil,
2023-05-18,nil,nil,low,nil,nil,
2023-05-11,nil,nil,low,nil,nil,
2023-05-04,nil,nil,low,nil,nil,
2023-04-27,nil,low,nil,nil,nil,
2023-04-20,nil,low,nil,nil,nil,
2023-04-13,nil,low,nil,nil,nil,
2023-04-06,nil,low,nil,nil,nil,
2023-03-30,nil,low,nil,nil,nil,
2023-03-23,nil,low,nil,nil,nil,
2023-03-16,nil,low,nil,nil,nil,
2023-03-09,nil,low,nil,nil,nil,
2023-03-02,nil,moderate,nil,nil,nil,
2023-02-23,nil,low,nil,nil,nil,
2023-02-16,nil,low,nil,nil,nil,
2023-02-09,nil,moderate,nil,nil,nil,
2023-02-02,nil,moderate,nil,nil,nil,
2023-01-26,nil,moderate,nil,nil,nil,
2023-01-19,nil,moderate,nil,nil,nil,
2023-01-12,nil,moderate,nil,nil,nil,
2023-01-05,,,,,,
2022-12-29,nil,moderate,nil,nil,nil,
2022-12-22,nil,moderate,nil,low,low,
2022-12-15,low,low,low,low,low,
2022-12-08,low,moderate,low,low,low,
2022-12-01,low,moderate,low,low,low,
2022-11-24,low,moderate,low,moderate,low,
2022-11-17,moderate,low,moderate,high,low,
2022-11-10,moderate,low,moderate,high,low,
2022-11-03,moderate,low,high,high,moderate,
2022-10-27,,,,,,
2022-10-20,moderate,low,high,high,moderate,
2022-10-13,moderate,low,high,high,moderate,
2022-10-06,moderate,moderate,high,moderate,moderate,
2022-09-29,moderate,moderate,high,moderate,moderate,
2022-09-22,moderate,moderate,high,moderate,moderate,
2022-09-15,moderate,moderate,high,moderate,moderate,
2022-09-08,moderate,low,high,moderate,moderate,
2022-09-01,moderate,low,high,moderate,moderate,
2022-08-25,moderate,low,high,moderate,moderate,
2022-08-18,moderate,low,moderate,moderate,nil,
2022-08-11,,,,,,
2022-08-04,moderate,low,moderate,moderate,nil,
2022-07-28,low,low,moderate,moderate,nil,
2022-07-21,low,low,moderate,moderate,nil,
2022-07-14,low,low,moderate,moderate,nil,
2022-07-07,low,low,moderate,moderate,nil,
2022-06-30,low,low,moderate,moderate,nil,
2022-06-23,low,low,moderate,moderate,nil,
2022-06-16,nil,nil,moderate,moderate,nil,
2022-06-09,nil,nil,moderate,moderate,nil,
2022-06-02,nil,nil,nil,nil,nil,
2022-05-26,nil,nil,nil,nil,nil,
2022-05-19,nil,nil,nil,nil,nil,
2022-05-12,,,,,,
2022-05-05,,,,,,
2022-04-28,nil,nil,nil,nil,nil,
2022-04-21,,,,,,
2022-04-14,nil,nil,nil,nil,nil,
2022-04-07,,,,,,
2022-03-31,nil,nil,nil,nil,nil,
2022-03-24,nil,nil,nil,nil,nil,
2022-03-17,nil,nil,nil,nil,nil,
2022-03-10,nil,nil,nil,nil,nil,
2022-03-03,nil,nil,nil,nil,nil,
2022-02-24,,,,,,
2022-02-17,,,,,,
2022-02-10,,,,,,
