name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
sangli,2021-04-25,36.9,21.8,30,48.9,21.8,30.9,18,52.1,0,0,0,,0,0,32.8,13,251.7,1009.4,21.7,8.4,262.3,22.5,9,,2021-04-25T06:09:44,2021-04-25T18:49:44,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43157099999,remote,43158099999"
sangli,2021-04-26,36.4,23.9,29.7,37.5,23.9,30.8,19.8,58.2,1,100,4.17,rain,0,0,34.9,13,257.2,1009.4,40.3,7.9,253.3,21.9,9,,2021-04-26T06:09:09,2021-04-26T18:49:59,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43157099999,remote,43158099999"
sangli,2021-04-27,35.9,22.3,28.4,44.7,22.3,29.4,19.1,60,0.4,100,4.17,rain,0,0,42.1,13,255.3,1010.3,27.6,8.1,279.8,24.1,9,,2021-04-27T06:08:35,2021-04-27T18:50:15,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43157099999,remote,43158099999"
sangli,2021-04-28,36.9,22.4,29.5,35.9,22.4,29.6,17.6,54.7,0.1,100,4.17,rain,0,0,37.1,16.9,289.5,1010.9,27.8,9,266.6,23.1,9,,2021-04-28T06:08:01,2021-04-28T18:50:31,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43157099999,remote,43158099999"
sangli,2021-04-29,36.1,23.3,28.5,38.2,23.3,29,19.7,62.2,15,100,4.17,rain,0,0,25.6,13.7,292.6,1010.2,34.5,7.9,282.2,24.3,10,,2021-04-29T06:07:28,2021-04-29T18:50:47,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43157099999,remote,43158099999"
sangli,2021-04-30,35.1,22.4,28.8,40.3,22.4,29.3,18.2,56.4,6,100,4.17,rain,0,0,22,13.3,280.2,1009.3,16.8,7.7,274.1,23.7,10,,2021-04-30T06:06:56,2021-04-30T18:51:03,0.61,Rain,Clear conditions throughout the day with morning rain.,rain,"43157099999,remote,43158099999"
sangli,2021-05-01,36.1,23.2,29.5,42.8,23.2,30.7,19.9,60.1,0,0,0,,0,0,33.8,14,266.7,1008.5,26.3,9.2,273,23.5,9,,2021-05-01T06:06:24,2021-05-01T18:51:20,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43157099999,remote,43158099999"
sangli,2021-05-02,34.1,23.8,27.9,35.9,23.8,28.6,19.9,64,3,100,4.17,rain,0,0,37.1,11.5,290.5,1009.7,44.9,7.1,266.6,23,10,,2021-05-02T06:05:54,2021-05-02T18:51:37,0.67,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"43157099999,remote"
sangli,2021-05-03,35.1,22.4,28.4,37.1,22.4,29,18.7,58.5,0,0,0,,0,0,32.8,11.2,303.3,1009.1,23.7,8,280.5,24.3,10,,2021-05-03T06:05:24,2021-05-03T18:51:54,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43157099999,remote"
sangli,2021-05-04,36.1,23.2,29.3,37.7,23.2,30.4,20.3,61.4,0.2,100,4.17,rain,0,0,29.9,16.6,278.5,1008.5,31.5,7.8,254.5,22,9,,2021-05-04T06:04:55,2021-05-04T18:52:11,0.75,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"43157099999,remote,43158099999"
sangli,2021-05-05,36.6,23.1,27.9,41.2,23.1,29.1,21.3,69.7,0.1,100,4.17,rain,0,0,35.3,18.4,253.5,1008.8,38.6,7.2,248.8,21.3,9,,2021-05-05T06:04:27,2021-05-05T18:52:29,0.78,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"43157099999,remote,43158099999"
sangli,2021-05-06,35.1,23.7,29.3,49,23.7,31.7,22,67.2,0.2,100,4.17,rain,0,0,24.8,12.6,260,1009.1,54.3,7.8,222,19.1,8,,2021-05-06T06:03:59,2021-05-06T18:52:47,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43157099999,remote,43158099999"
sangli,2021-05-07,35.1,23.9,28.2,38.3,23.9,29.6,22,71.4,13,100,4.17,rain,0,0,23.4,10.1,275.4,1010.4,52.5,7,253,21.7,9,,2021-05-07T06:03:33,2021-05-07T18:53:06,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43157099999,remote"
sangli,2021-05-08,35.4,23.7,28.6,41.2,23.7,30.7,22.1,69.8,11,100,4.17,rain,0,0,24.5,10.4,309.7,1008.9,69.7,8.5,266.4,22.7,10,,2021-05-08T06:03:07,2021-05-08T18:53:24,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43157099999,remote"
sangli,2021-05-09,35.2,24.4,28.5,54.8,24.4,31.2,23.2,74.7,2.8,100,12.5,rain,0,0,29.2,9.7,283.6,1008.1,71.2,8.5,217.9,18.7,8,,2021-05-09T06:02:42,2021-05-09T18:53:43,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43157099999,remote,43158099999"
sangli,2021-05-10,37.1,23.9,30,49.3,23.9,31.5,20.8,61.7,0,0,0,,0,0,25.9,14.8,281.9,1007.7,29.5,8.1,271.5,23.5,10,,2021-05-10T06:02:19,2021-05-10T18:54:02,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43157099999,remote,43158099999"
sangli,2021-05-11,36,24.3,29.8,45.7,24.3,31.9,21,61.1,0.1,100,4.17,rain,0,0,28.1,13.7,266.5,1007.9,16.5,8.3,277.1,23.8,9,,2021-05-11T06:01:56,2021-05-11T18:54:21,0.98,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"43157099999,remote,43158099999"
sangli,2021-05-12,34.7,24.1,29.3,40,24.1,31.1,20.8,62,0,0,0,,0,0,36.7,15.5,274.5,1006.8,70.4,8.1,275.3,23.5,9,,2021-05-12T06:01:34,2021-05-12T18:54:41,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43157099999,remote,43158099999"
sangli,2021-05-13,35,24.1,28.8,37.7,24.1,30.8,21.5,66.4,1.4,100,4.17,rain,0,0,28.1,14.4,271.2,1006,87.3,9.2,261,22.5,9,,2021-05-13T06:01:12,2021-05-13T18:55:01,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43157099999,remote"
sangli,2021-05-14,36.6,24.5,30,41.5,24.5,31.9,21.3,61.8,0.5,100,8.33,rain,0,0,33.1,14.8,16.4,1003.7,66.4,8,248.3,21.3,9,,2021-05-14T06:00:52,2021-05-14T18:55:21,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43157099999,remote,43158099999"
sangli,2021-05-15,34.5,25.3,28.8,37.2,25.3,30.9,21.8,67.1,2,100,4.17,rain,0,0,54.4,33.5,93.1,1001.1,91.1,7.1,190,16.2,9,,2021-05-15T06:00:33,2021-05-15T18:55:41,0.12,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"43157099999,remote"
sangli,2021-05-16,26.1,23.2,24.6,26.1,23.2,24.6,21.5,83.2,14,100,8.33,rain,0,0,80.3,42.5,112.6,1000.3,94.2,5.4,47.6,4.2,2,,2021-05-16T06:00:15,2021-05-16T18:56:01,0.15,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"43157099999,remote,43158099999"
sangli,2021-05-17,30.1,23.8,26.8,39,23.8,28.2,21.7,75,26,100,4.17,rain,0,0,65.9,29.5,185.9,1004.3,95.4,7.3,182.4,15.8,7,,2021-05-17T05:59:57,2021-05-17T18:56:21,0.19,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"43157099999,remote,43158099999"
sangli,2021-05-18,30.1,24.7,26.9,34.5,24.7,28.6,22.7,77.8,3.4,100,8.33,rain,0,0,53.6,16.2,202,1006.8,97.8,7.3,155.3,13.2,6,,2021-05-18T05:59:41,2021-05-18T18:56:42,0.22,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"43157099999,remote,43158099999"
sangli,2021-05-19,30.1,24.1,26.7,34.3,24.1,28.3,22.5,78.1,0.6,100,4.17,rain,0,0,40,16.6,227.9,1007.1,87.1,8.2,161.6,13.8,6,,2021-05-19T05:59:25,2021-05-19T18:57:03,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43157099999,remote"
