Date,Downy Mildew,Powdery Mildew,Anthracnose,Bacterial Spot,Rust,Bunch Rot
04 April 2024,nil,nil,nil,nil,nil,
28 March 2024,nil,nil,nil,nil,nil,
21 March 2024,nil,nil,nil,nil,nil,
14 March 2024,low,low,low,low,low,
07 March 2024,low,low,low,low,low,
29 February 2024,low,low,low,low,low,
22 February 2024,low,low,low,low,low,
15 February 2024,low,low,low,low,low,
08 February 2024,low,low,low,low,low,
01 February 2024,low,moderate,low,low,low,
25 January 2024,low,moderate,low,low,low,
18 January 2024,low,moderate,low,low,low,
11 January 2024,moderate,moderate,moderate,low,low,
04 January 2024,moderate,low,moderate,low,low,
28 December 2023,moderate,low,moderate,low,low,
21 December 2023,moderate,low,moderate,low,low,
14 December 2023,moderate,low,moderate,low,low,
07 December 2023,moderate,low,moderate,low,low,
30 November 2023,moderate,low,moderate,low,low,
23 November 2023,moderate,low,moderate,low,nil,
16 November 2023,moderate,low,moderate,low,nil,
09 November 2023,moderate,low,moderate,low,nil,
02 November 2023,moderate,low,moderate,moderate,nil,
26 October 2023,moderate,nil,moderate,moderate,nil,
19 October 2023,moderate,nil,moderate,moderate,nil,
12 October 2023,moderate,nil,moderate,moderate,nil,
05 October 2023,moderate,nil,moderate,moderate,nil,
28 September 2023,low,nil,moderate,moderate,nil,
21 September 2023,low,low,moderate,moderate,nil,
14 September 2023,low,low,moderate,moderate,nil,
07 September 2023,low,moderate,moderate,moderate,nil,
31 August 2023,low,moderate,moderate,moderate,nil,
24 August 2023,low,moderate,moderate,moderate,nil,
17 August 2023,nil,nil,moderate,moderate,nil,
10 August 2023,nil,nil,moderate,moderate,nil,
03 August 2023,nil,nil,moderate,moderate,nil,
27 July 2023,nil,nil,moderate,moderate,nil,
20 July 2023,nil,nil,moderate,moderate,nil,
13 July 2023,nil,nil,moderate,moderate,nil,
06 July 2023,nil,nil,moderate,moderate,nil,
29 June 2023,nil,nil,moderate,moderate,nil,
22 June 2023,nil,nil,low,nil,nil,
15 June 2023,nil,nil,low,nil,nil,
08 June 2023,nil,nil,low,nil,nil,
01 June 2023,nil,low,nil,nil,nil,
25 May 2023,nil,nil,low,nil,nil,
18 May 2023,nil,nil,low,nil,nil,
11 May 2023,nil,nil,low,nil,nil,
04 May 2023,nil,nil,low,nil,nil,
27 April 2023,nil,low,nil,nil,nil,
20 April 2023,nil,low,nil,nil,nil,
13 April 2023,nil,low,nil,nil,nil,
06 April 2023,nil,low,nil,nil,nil,
30 March 2023,nil,low,nil,nil,nil,
23 March 2023,nil,low,nil,nil,nil,
16 March 2023,nil,low,nil,nil,nil,
09 March 2023,nil,low,nil,nil,nil,
02 March 2023,nil,moderate,nil,nil,nil,
23 February 2023,nil,low,nil,nil,nil,
16 February 2023,nil,low,nil,nil,nil,
09 February 2023,nil,moderate,nil,nil,nil,
02 February 2023,nil,moderate,nil,nil,nil,
26 January 2023,nil,moderate,nil,nil,nil,
19 January 2023,nil,moderate,nil,nil,nil,
12 January 2023,nil,moderate,nil,nil,nil,
05 January 2023,,,,,,
29 December 2022,nil,moderate,nil,nil,nil,
22 December 2022,nil,moderate,nil,low,low,
15 December 2022,low,low,low,low,low,
08 December 2022,low,moderate,low,low,low,
01 December 2022,low,moderate,low,low,low,
24 November 2022,low,moderate,low,moderate,low,
17 November 2022,moderate,low,moderate,high,low,
10 November 2022,moderate,low,moderate,high,low,
03 November 2022,moderate,low,high,high,moderate,
27 October 2022,,,,,,
20 October 2022,moderate,low,high,high,moderate,
13 October 2022,moderate,low,high,high,moderate,
06 October 2022,moderate,moderate,high,moderate,moderate,
29 September 2022,moderate,moderate,high,moderate,moderate,
22 September 2022,moderate,moderate,high,moderate,moderate,
15 September 2022,moderate,moderate,high,moderate,moderate,
08 September 2022,moderate,low,high,moderate,moderate,
01 September 2022,moderate,low,high,moderate,moderate,
25 August 2022,moderate,low,high,moderate,moderate,
18 August 2022,moderate,low,moderate,moderate,nil,
11 August 2022,,,,,,
04 August 2022,moderate,low,moderate,moderate,nil,
28 July 2022,low,low,moderate,moderate,nil,
21 July 2022,low,low,moderate,moderate,nil,
14 July 2022,low,low,moderate,moderate,nil,
07 July 2022,low,low,moderate,moderate,nil,
30 June 2022,low,low,moderate,moderate,nil,
23 June 2022,low,low,moderate,moderate,nil,
16 June 2022,nil,nil,moderate,moderate,nil,
09 June 2022,nil,nil,moderate,moderate,nil,
02 June 2022,nil,nil,nil,nil,nil,
26 May 2022,nil,nil,nil,nil,nil,
19 May 2022,nil,nil,nil,nil,nil,
12 May 2022,,,,,,
05 May 2022,,,,,,
28 April 2022,nil,nil,nil,nil,nil,
21 April 2022,,,,,,
14 April 2022,nil,nil,nil,nil,nil,
07 April 2022,,,,,,
31 March 2022,nil,nil,nil,nil,nil,
24 March 2022,nil,nil,nil,nil,nil,
17 March 2022,nil,nil,nil,nil,nil,
10 March 2022,nil,nil,nil,nil,nil,
03 March 2022,nil,nil,nil,nil,nil,
24 February 2022,,,,,,
17 February 2022,,,,,,
