name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
sangli,2018-08-01,26.8,23.6,25,28.6,23.6,25.1,21.8,82.2,0.2,100,4.17,rain,0,0,53.6,27.4,257.5,1008.1,96.4,7,152.2,13.1,5,,2018-08-01T06:11:38,2018-08-01T19:04:11,0.65,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"43157099999,remote,43158099999"
sangli,2018-08-02,27.8,23.6,25.5,30.2,23.6,26.2,21.8,80.3,0.3,100,4.17,rain,0,0,54.4,25.6,263.6,1009.1,89.2,8.5,195.2,16.9,8,,2018-08-02T06:11:54,2018-08-02T19:03:46,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43157099999,remote,43158099999"
sangli,2018-08-03,28.2,23.4,25.3,30.8,23.4,26,21.9,81.4,12.7,100,12.5,rain,0,0,53.6,26.3,263.8,1010.3,89,7,178.8,15.5,6,,2018-08-03T06:12:11,2018-08-03T19:03:20,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43157099999,remote,43158099999"
sangli,2018-08-04,26.9,23,24.8,28.9,23,24.9,21.7,83.2,10,100,8.33,rain,0,0,58,28.8,263.3,1009.9,88.5,5.5,176.1,15.2,6,,2018-08-04T06:12:27,2018-08-04T19:02:54,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43157099999,remote,43158099999"
sangli,2018-08-05,27.7,22.4,24.8,30.1,22.4,25.1,21.5,82.2,14.2,100,8.33,rain,0,0,57.2,26.6,265.3,1009.8,85.5,7,195.6,16.8,7,,2018-08-05T06:12:43,2018-08-05T19:02:26,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43157099999,remote,43158099999"
sangli,2018-08-06,25.8,23.2,24.4,25.8,23.2,24.4,21.3,83.1,4.8,100,8.33,rain,0,0,62.6,30.6,263.5,1008.1,92.6,7,223.4,19.2,8,,2018-08-06T06:12:59,2018-08-06T19:01:57,0.82,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"43157099999,remote,43158099999"
sangli,2018-08-07,26.9,23.1,24.4,28.9,23.1,24.5,21.2,82.8,4,100,8.33,rain,0,0,58.3,28.8,262.8,1006.3,92.4,5.5,188.5,16.3,6,,2018-08-07T06:13:14,2018-08-07T19:01:28,0.86,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"43157099999,remote,43158099999"
sangli,2018-08-08,26.3,23,24.5,26.3,23,24.5,21.7,85,2,100,4.17,rain,0,0,55.8,26.6,262.8,1005.5,95.8,7,171.6,14.9,6,,2018-08-08T06:13:29,2018-08-08T19:00:58,0.89,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"43157099999,remote,43158099999"
sangli,2018-08-09,26.8,23.1,24.9,28.7,23.1,25.2,21.6,82.2,5.3,100,8.33,rain,0,0,53.3,26.6,262.7,1008.1,81.4,7,155.3,13.4,6,,2018-08-09T06:13:44,2018-08-09T19:00:26,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43157099999,remote,43158099999"
sangli,2018-08-10,27.9,23,25.1,30.6,23,25.6,21.7,81.9,0.2,100,4.17,rain,0,0,57.2,28.1,271,1009.8,75.4,7,201.4,17.4,7,,2018-08-10T06:13:58,2018-08-10T18:59:54,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43157099999,remote,43158099999"
sangli,2018-08-11,26.5,23,24.4,26.5,23,24.4,21.6,84.9,4.2,100,8.33,rain,0,0,59,28.1,271.1,1008.5,91.2,7,147.2,12.7,5,,2018-08-11T06:14:12,2018-08-11T18:59:22,0,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"43157099999,remote,43158099999"
sangli,2018-08-12,25.6,22.4,23.2,25.6,22.4,23.2,21.5,90.2,22.6,100,12.5,rain,0,0,62.6,31.3,263.7,1006.6,100,7,113.5,10,5,,2018-08-12T06:14:26,2018-08-12T18:58:48,0.03,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"43157099999,remote,43158099999"
sangli,2018-08-13,24.3,22,23.1,24.3,22,23.1,21.3,89.5,17,100,12.5,rain,0,0,52.2,27.7,258.5,1005.4,98.8,4,65.2,5.5,3,,2018-08-13T06:14:40,2018-08-13T18:58:14,0.06,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"43157099999,remote,43158099999"
sangli,2018-08-14,27.1,22.9,24.3,29.3,22.9,24.3,22.1,87.8,6,100,8.33,rain,0,0,61.9,30.2,272.8,1005.4,93.5,8,172.5,14.7,7,,2018-08-14T06:14:53,2018-08-14T18:57:38,0.09,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"43157099999,remote,43158099999"
sangli,2018-08-15,26.4,23,24.1,26.4,23,24.1,21.7,86.5,5,100,8.33,rain,0,0,56.2,28.1,275,1005.2,99.6,7,137.5,11.7,6,,2018-08-15T06:15:06,2018-08-15T18:57:02,0.13,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"43157099999,remote,43158099999"
sangli,2018-08-16,23.9,22.3,23,23.9,22.3,23,21.5,91.5,1,100,4.17,rain,0,0,51.5,23.4,271.9,1004.7,100,7,39.4,3.3,2,,2018-08-16T06:15:18,2018-08-16T18:56:26,0.16,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"43157099999,remote,43158099999"
sangli,2018-08-17,26.9,22.5,24.3,29,22.5,24.4,21.7,86.1,5.8,100,8.33,rain,0,0,65.9,32,268.3,1004.2,80.5,7,175.1,15.1,7,,2018-08-17T06:15:30,2018-08-17T18:55:48,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43157099999,remote,43158099999"
sangli,2018-08-18,26.1,22.8,24.3,26.1,22.8,24.3,21.8,86.2,5.9,100,8.33,rain,0,0,56.9,28.8,266.1,1005.7,89.6,7,146.4,12.6,5,,2018-08-18T06:15:42,2018-08-18T18:55:10,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43157099999,remote,43158099999"
sangli,2018-08-19,26,22.6,24.2,26,22.6,24.2,21.5,85.3,16.3,100,8.33,rain,0,0,56.9,28.4,272.2,1006.5,93.7,7,152.6,13.1,6,,2018-08-19T06:15:54,2018-08-19T18:54:31,0.26,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"43157099999,remote,43158099999"
sangli,2018-08-20,26,22.6,23.9,26,22.6,23.9,21.5,86.2,6.3,100,8.33,rain,0,0,52.6,23.8,267.1,1007,98.6,7,123.9,10.8,5,,2018-08-20T06:16:05,2018-08-20T18:53:52,0.29,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"43157099999,remote,43158099999"
sangli,2018-08-21,25.3,22.1,23.2,25.3,22.1,23.2,21.4,90,7.7,100,12.5,rain,0,0,45.4,19.8,258.5,1007.5,99.4,7,81.6,7.1,3,,2018-08-21T06:16:16,2018-08-21T18:53:12,0.33,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"43157099999,remote,43158099999"
sangli,2018-08-22,26.4,22.2,24,26.4,22.2,24,21.3,84.8,15.2,100,8.33,rain,0,0,54.4,27,263,1008.5,81.2,7,178.7,15.4,7,,2018-08-22T06:16:27,2018-08-22T18:52:31,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43157099999,remote,43158099999"
sangli,2018-08-23,27,22.6,24.4,29.2,22.6,24.5,21.5,83.8,9.8,100,12.5,rain,0,0,52.9,26.3,268.7,1009.4,87.4,7,180.6,15.6,7,,2018-08-23T06:16:37,2018-08-23T18:51:50,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43157099999,remote,43158099999"
sangli,2018-08-24,27.1,22.7,24.6,29.1,22.7,24.7,21.4,82.3,0.2,100,4.17,rain,0,0,47.9,23.4,266.2,1009.3,86.5,7,198.3,17.2,7,,2018-08-24T06:16:48,2018-08-24T18:51:08,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43157099999,remote,43158099999"
sangli,2018-08-25,27.1,22,24.4,29,22,24.5,21.2,82.6,0.2,100,4.17,rain,0,0,49.7,22.3,264.7,1008.7,97.7,7,173.8,15.1,6,,2018-08-25T06:16:58,2018-08-25T18:50:25,0.46,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"43157099999,remote,43158099999"
sangli,2018-08-26,26.9,22.6,24.6,28.7,22.6,24.7,21,80.8,0.1,100,4.17,rain,0,0,56.2,25.6,261.5,1007.4,90.4,7,194.3,16.6,7,,2018-08-26T06:17:07,2018-08-26T18:49:42,0.5,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"43157099999,remote,43158099999"
sangli,2018-08-27,25.6,22.3,23.5,25.6,22.3,23.5,21.3,88,19.9,100,12.5,rain,0,0,44.6,20.2,264,1007.4,99.5,4,115.9,10,5,,2018-08-27T06:17:17,2018-08-27T18:48:59,0.53,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"43157099999,remote,43158099999"
